distance_km,trip_duration_min,time_of_day,traffic_level,weather_condition,demand_level,pickup_zone,ride_price
1.91,4,morning,low,snowy,low,suburbs,7.73
19.46,54.4,night,low,rainy,high,suburbs,86.51
10.12,28.4,afternoon,medium,snowy,low,downtown,43.09
15.75,46.6,evening,medium,clear,low,airport,63.38
27.32,84.4,evening,high,clear,low,downtown,104.2
8.23,28.5,afternoon,high,rainy,medium,airport,58.22
12.9,35.8,afternoon,high,rainy,low,suburbs,49.72
22.91,56.9,evening,medium,rainy,low,airport,97.3
7.64,24.4,evening,medium,snowy,medium,suburbs,41.46
3.23,7.8,afternoon,medium,clear,low,downtown,12.24
9.4,25,evening,medium,clear,high,downtown,44.98
5.68,12,morning,medium,snowy,high,downtown,32.13
27.96,57,morning,medium,clear,low,airport,90.69
24.44,84.2,afternoon,medium,rainy,medium,suburbs,113.95
19.37,63,night,high,rainy,high,downtown,128.03
26.27,80,afternoon,high,rainy,medium,downtown,136.68
24.31,63.5,afternoon,high,clear,medium,suburbs,94.57
6.41,14.5,night,high,rainy,high,downtown,36.85
26.88,60.1,night,medium,snowy,medium,suburbs,106.15
16.64,39.5,night,low,snowy,high,suburbs,72.54
24.42,69,morning,medium,clear,medium,suburbs,87.43
26.99,82.9,evening,low,snowy,high,suburbs,132.93
10.22,30.6,morning,high,snowy,low,suburbs,46.27
4.19,10.1,evening,medium,clear,high,airport,27.4
7.61,26.1,morning,high,rainy,high,downtown,55.75
13.39,41.6,evening,medium,rainy,high,airport,89.23
24.72,70,morning,high,rainy,high,downtown,147.57
25.96,75.7,night,low,clear,medium,airport,112.53
1.2,3.2,afternoon,low,snowy,low,suburbs,7.91
15.81,37.5,morning,low,rainy,high,downtown,70.03
13.1,33.2,evening,medium,rainy,medium,downtown,57.67
7.44,23.3,night,low,clear,low,airport,33.7
4.48,9.1,morning,medium,rainy,low,airport,19.26
10.79,23.5,morning,low,clear,low,downtown,33.74
28.34,58.6,night,low,snowy,low,airport,109.15
10.37,21.4,morning,medium,clear,high,airport,54.79
16.04,52.7,afternoon,medium,clear,high,airport,95.03
21.39,65.4,morning,low,clear,medium,suburbs,72.7
11.55,31.3,afternoon,medium,clear,medium,suburbs,41.35
29.18,62.6,afternoon,low,snowy,medium,airport,136.44
28.91,79.1,night,medium,snowy,low,airport,136.04
8.3,22.5,morning,high,rainy,low,suburbs,35.55
15.42,34.8,night,high,snowy,high,suburbs,85.37
9.73,25.8,morning,high,snowy,low,downtown,46.44
9.26,24.1,morning,high,rainy,low,downtown,43.18
2.07,6.1,evening,high,snowy,low,suburbs,12.77
18.68,55.2,morning,low,clear,medium,airport,83.59
15.58,32.2,night,high,clear,medium,airport,71.74
2.49,6.4,afternoon,high,rainy,high,airport,21.28
9.08,26.7,morning,high,rainy,low,airport,51.44
27.34,75.3,evening,high,rainy,low,downtown,116.23
7.95,26.1,night,medium,clear,high,suburbs,39.13
5.2,15.5,morning,low,snowy,low,airport,26.11
15.19,34.1,night,high,clear,low,downtown,55.04
29.58,62.3,evening,high,rainy,medium,airport,152.83
8.02,23.8,evening,high,snowy,high,suburbs,50.21
20.49,41.8,night,low,snowy,high,downtown,94.26
23.09,66.5,morning,medium,clear,high,suburbs,99.45
7.89,26.9,afternoon,low,rainy,high,suburbs,41.63
22.12,63.3,evening,medium,clear,medium,downtown,87.55
11.67,30.1,morning,high,snowy,medium,downtown,66.08
19.34,57.3,morning,high,clear,low,downtown,78.18
19.37,52.1,afternoon,low,clear,low,downtown,62
16.54,46.6,evening,low,rainy,low,downtown,54.43
3.62,12.4,evening,medium,rainy,low,downtown,17.31
25.22,65,morning,medium,snowy,medium,downtown,117.49
10.3,35.5,morning,low,clear,high,airport,62.6
6.41,21.5,afternoon,medium,clear,medium,suburbs,22.68
2.18,5,afternoon,low,clear,low,downtown,9.41
18.14,38.2,evening,medium,snowy,medium,airport,92.51
20.65,44.4,night,low,snowy,high,airport,115.84
1.48,3,evening,low,rainy,high,airport,15.09
15.85,33.9,morning,low,rainy,medium,suburbs,53.82
7.57,22.9,evening,medium,rainy,medium,downtown,35.3
19.71,41.5,night,medium,clear,medium,airport,79.34
6.06,15,afternoon,medium,clear,low,suburbs,18.07
21.04,68.7,night,low,rainy,medium,suburbs,83.04
12.22,24.9,night,medium,clear,medium,suburbs,41.4
28.17,90.8,night,medium,rainy,medium,airport,158.33
4.99,12.1,afternoon,low,snowy,high,downtown,31.92
10.89,23.7,night,high,rainy,high,airport,75.66
4.29,13.1,night,low,snowy,low,airport,22.3
27.82,81.9,night,medium,clear,low,downtown,93.63
26.44,87.7,morning,low,rainy,high,downtown,138.13
8.48,26.3,night,high,clear,high,downtown,51.52
20.14,64.6,afternoon,low,snowy,high,suburbs,105.74
24.7,59.8,night,medium,snowy,medium,downtown,113.12
17.1,38.8,night,high,snowy,medium,airport,104.34
16.36,51.1,afternoon,medium,clear,high,downtown,79.53
8.01,25.7,night,high,clear,medium,airport,49.55
3.7,12.9,afternoon,high,clear,medium,suburbs,20.41
27.02,70.8,night,low,clear,low,airport,89.6
27.11,69.3,afternoon,low,snowy,high,airport,158.5
19.36,61.3,night,medium,snowy,high,downtown,118.62
10.83,27.2,night,low,rainy,medium,downtown,42.95
11.13,37.8,morning,low,rainy,high,airport,70.45
22.05,72.5,morning,high,clear,low,downtown,89.79
27.02,71.4,night,low,snowy,low,suburbs,86.72
26.73,83.6,night,high,snowy,low,suburbs,118.4
23.62,74,evening,high,snowy,high,downtown,165.4
